gene_target,disease,manifestation,role,n_supporting_papers,evidence_tier,n_fulltext_supported,n_fulltext_partial,n_fulltext_not_supported,n_papers_fulltext_read,n_papers_abstract_only,mechanism,study_system,manifestation_in_fulltext_differs,supporting_pmids,paper_access
MAP2K1/2 (MEK1/2),Not specified,Hematologic malignancies,therapeutic target,7,abstract only,0,0,0,0,7,"Trametinib inhibits RAS-RAF-MEK-ERK pathway, reducing ERK phosphorylation, prolonging survival in JMML PDX model",cell line;clinical trial;mouse model,,24569456;24812670;36739480;38647418;38867349;40755378;40819104,24569456:abstract_only;24812670:abstract_only;36739480:abstract_only;38647418:abstract_only;38867349:abstract_only;40755378:abstract_only;40819104:abstract_only
KIT,NF1,Gastrointestinal stromal tumor (GIST),driver,6,full text - partial,0,1,0,1,5,"GIST in NF1 is strongly KIT-positive by immunohistochemistry, but KIT and PDGFRA mutations are rare in NF1-associated GIST, unlike sporadic GIST.",human tissue,,24426628;29441367;34274754;35282706;35284800;40106943,24426628:abstract_only;29441367:abstract_only;34274754:full_text;35282706:abstract_only;35284800:abstract_only;40106943:abstract_only
MAP2K1/2 (MEK1/2),NF1,Other,therapeutic target,6,full text - partial,0,2,0,2,4,"Neurofibromin-deficient endothelial cells show enhanced Erk and Akt activity, but retinal neovascularization is attributed to Ras-Akt; MEK1/2 inhibition was not tested.",cell line;mouse model,,29249250;29847659;40252783;40587782;41256734;42176046,29249250:abstract_only;29847659:full_text;40252783:abstract_only;40587782:abstract_only;41256734:full_text;42176046:abstract_only
EED,NF1,Malignant peripheral nerve sheath tumor (MPNST),driver,5,full text - partial,0,1,0,1,4,"EED/PRC2 loss impairs Schwann cell proliferation and delays axon regeneration after nerve injury in mouse Eed cKO; MPNST link is discussion-based, citing prior literature that PRC2 loss co-occurs with NF1/CDKN2A/TP53 alterations in human MPNSTs, not directly tested in this study's model.",mouse model,"Malignant peripheral nerve sheath tumor (MPNST), Other",28124441;30306639;33588442;34283254;39500722,28124441:abstract_only;30306639:full_text;33588442:abstract_only;34283254:abstract_only;39500722:abstract_only
SUZ12,NF1,Malignant peripheral nerve sheath tumor (MPNST),driver,5,abstract only,0,0,0,0,5,Inactivating mutation used as diagnostic molecular feature for MPNST,human tissue;mouse model;review,,28124441;33588442;34283254;37670622;39500722,28124441:abstract_only;33588442:abstract_only;34283254:abstract_only;37670622:abstract_only;39500722:abstract_only
PDGFRA,Not specified,High grade glioma,driver,4,full text - partial,0,2,0,2,2,"PDGFRA amplification is enriched in proneural HGG (TCGA), associated with a proneural transcriptomic/expression signature; PDGFB-overexpressing mouse model mimics this subtype; no Wnt signalling or posterior fossa mutation data present.",human tissue;mouse model,,28836293;32748499;33606385;40215269,28836293:full_text;32748499:full_text;33606385:abstract_only;40215269:abstract_only
MAP2K1/2 (MEK1/2),Not specified,Non-optic LGG,therapeutic target,3,abstract only,0,0,0,0,3,"MAPK inhibitor exposure (binimetinib, tovorafenib) associated with hemorrhage",cell line;clinical trial;human tissue,,31841591;35363510;42414678,31841591:abstract_only;35363510:abstract_only;42414678:abstract_only
MAPK pathway,NF1,Malignant peripheral nerve sheath tumor (MPNST),driver,3,full text - partial,0,1,0,1,2,"MAPK pathway implicated via Drosophila/animal studies linking NF1 to Ras/MAPK-mediated circadian regulation; in MPNST cell lines, MAPK-related kinase MAP3K8 gained/altered rhythmic expression, disrupting circadian output alongside oncogene rhythmicity.",cell line,,20043723;24470531;41001593,20043723:abstract_only;24470531:abstract_only;41001593:full_text
MTOR,NF1,Malignant peripheral nerve sheath tumor (MPNST),therapeutic target,3,abstract only,0,0,0,0,3,Combined mTOR inhibition with MEK inhibition caused tumor regression in MPNST mouse model,clinical trial;review,,20043723;24470531;41504652,20043723:abstract_only;24470531:abstract_only;41504652:abstract_only
MTOR,NF1,Non-optic LGG,therapeutic target,3,abstract only,0,0,0,0,3,mTOR pathway activation in NF1-associated LGGs; inhibition achieved clinical response,cell line;clinical trial,,30239952;32236425;32601903,30239952:abstract_only;32236425:abstract_only;32601903:abstract_only
NF1,NF1,Gastrointestinal stromal tumor (GIST),driver,3,abstract only,0,0,0,0,3,NF1 mutation (c.1466A>G) identified in GIST without KIT/PDGFRA mutations,human tissue;review,,20043105;32927517;41288319,20043105:abstract_only;32927517:abstract_only;41288319:abstract_only
NF2,NF2-SWN,Non-vestibular schwannoma,driver,3,abstract only,0,0,0,0,3,Pathogenic variant; truncating exon 2-13 variant associated with severe phenotype,human tissue;review,,26564072;29599333;30993672,26564072:abstract_only;29599333:abstract_only;30993672:abstract_only
PRC2 (EED/SUZ12/EZH2),NF1,ANNUBP / atypical neurofibroma,driver,3,abstract only,0,0,0,0,3,"Additional PRC2 loss disrupts pluripotency, causes chromatin reorganization and neuro-mesenchymal transition driving PNF-ANNUBP-MPNST progression.",cell line;human tissue;mouse model,,39620202;42135588;42310314,39620202:abstract_only;42135588:abstract_only;42310314:abstract_only
RAS (pan),NF1,Malignant peripheral nerve sheath tumor (MPNST),driver,3,abstract only,0,0,0,0,3,Neurofibromin inhibits RAS pathway; RAS regulates cellular proliferation and differentiation,review,,12432832;25917340;33641042,12432832:abstract_only;25917340:abstract_only;33641042:abstract_only
YAP1,Not specified,Other,driver,3,full text - partial,0,1,1,2,1,"Merlin RNAi increases YAP activity and sensitises cells to ferroptosis via TEAD targets CTGF and CYR61, shown in colorectal and mesothelioma lines, not NF tumours.",cell line,,31341276;36622276;39325963,31341276:full_text;36622276:full_text;39325963:abstract_only
AURKA,NF1,Malignant peripheral nerve sheath tumor (MPNST),therapeutic target,2,abstract only,0,0,0,0,2,Cell cycle regulation at G2/M transition,cell line;review,,24470531;32266095,24470531:abstract_only;32266095:abstract_only
BMPR2,NF1,Pulmonary disease,biomarker,2,full text - partial,0,1,0,1,1,"BMPR2 variants assessed by whole-exome sequencing and cell-surface expression assays as modifiers of moyamoya syndrome in NF1 - a cerebrovascular, not pulmonary, phenotype.",human tissue,Cardiovascular issues,17573495;39367156,17573495:abstract_only;39367156:full_text
CD44,NF2-SWN,Vestibular schwannoma,biomarker,2,full text - partial,0,1,0,1,1,"CD44+ Schwann cells significantly increased in bevacizumab-treated (failure) VS tumours by imaging mass cytometry, suggesting ECM/matrix remodeling and fibrotic response linked to treatment resistance; no direct hyaluronan-interaction proliferation mechanism shown.",human tissue,,30145722;40140675,30145722:abstract_only;40140675:full_text
CDKN2A,Not specified,Meningioma,driver,2,abstract only,0,0,0,0,2,CDKN2A/B deletions signify grade 3 meningioma with increased recurrence risk,review,,34629433;38844366,34629433:abstract_only;38844366:abstract_only
CDKN2A,NF1,Other,driver,2,abstract only,0,0,0,0,2,Frequent heterozygous or homozygous loss in ANF; associated with malignant transformation,human tissue,,21987445;36866403,21987445:abstract_only;36866403:abstract_only
CTLA4,Not specified,High grade glioma,therapeutic target,2,full text - partial,0,1,0,1,1,"High IFI44-expressing gliomas show upregulated checkpoint molecules including CTLA4 (with PD1/PDL1, LAG3), reflecting IFI44-driven immunosuppressive TME; NF1 mutations enriched in high-IFI44 tumors, but CTLA4 itself not functionally tested.",human tissue,"High grade glioma, Non-optic LGG",40215269;41327009,40215269:abstract_only;41327009:full_text
EPHA2,NF2-SWN,Meningioma,therapeutic target,2,full text - partial,0,1,0,1,1,"EphA2 was previously shown upregulated/activated in NF2-deficient cells; brigatinib treatment inhibited EphA2 phosphorylation in Ben-Men-1 meningioma cells, among multiple RTKs/non-RTKs blocked, contributing to downstream AKT/ERK suppression.",cell line,"Meningioma, Vestibular schwannoma",29982664;34264955,29982664:abstract_only;34264955:full_text
GDNF,NF1,Pain,driver,2,abstract only,0,0,0,0,2,Schwann cell-derived GDNF is upregulated and activates sensory neurons causing tumor-independent mechanical pain,mouse model,,38258905;42189937,38258905:abstract_only;42189937:abstract_only
HDAC,Not specified,Meningioma,therapeutic target,2,abstract only,0,0,0,1,1,HDAC inhibitor Trichostatin A restores histone acetylation and suppresses tumor growth in KMT2C-deficient meningioma,mouse model;review,,36181606;41642951,36181606:full_text;41642951:abstract_only
KIT,Not specified,Gastrointestinal stromal tumor (GIST),driver,2,full text - partial,0,1,0,1,1,KIT appears only as a diagnostic immunohistochemical marker; KIT-negative GISTs were matched by the sarcoma DNA methylation classifier. Not tested as a driver or target.,human tissue,,20043105;37921028,20043105:abstract_only;37921028:full_text
KRAS,NF1,Other,driver,2,abstract only,0,0,0,1,1,"Associates with neurofibromin; pan-KRAS inhibition blocks ERK and CDK1/2 activation in NF1-mutant cells, suggesting therapeutic potential.",cell line;review,,27269372;40587782,27269372:full_text;40587782:abstract_only
KRAS,Not specified,Other,driver,2,abstract only,0,0,0,0,2,"Mosaic KRAS G12D mutation activates RAS/MAPK signaling, driving epidermal nevus syndrome and nerve root hypertrophy",cell line;human tissue,,30442766;39385823,30442766:abstract_only;39385823:abstract_only
LZTR1,SWN,Vestibular schwannoma,driver,2,abstract only,0,0,0,0,2,Germline mutations confer increased risk of schwannomatosis and vestibular schwannoma,human tissue;review,,25480913;31425178,25480913:abstract_only;31425178:abstract_only
LZTR1,SWN,Pain,driver,2,abstract only,0,0,0,0,2,"Pathogenic LZTR1 variants associated with most severe, widespread pain; mosaic variants may cause no local pain",human tissue;review,,33263426;38884429,33263426:abstract_only;38884429:abstract_only
MAP2K1/2 (MEK1/2),NF1,Bone defects,therapeutic target,2,abstract only,0,0,0,0,2,"MEK inhibition counteracts elevated RAS-MAPK signaling in NF1-deficient Schwann cells and SSPCs, preventing fibrous nonunion",mouse model;review,,35788692;38924432,35788692:abstract_only;38924432:abstract_only
MAP2K1/2 (MEK1/2),Not specified,Meningioma,therapeutic target,2,full text - partial,0,1,0,1,1,"Trametinib (MEK1/2 inhibitor) inhibits ERK phosphorylation and reduces proliferation/cell viability in meningioma cell lines and primary cultures, but induced no apoptosis; effect stronger in WHO grade 1 tumors.",cell line,,36139608;36959063,36139608:full_text;36959063:abstract_only
MAP2K1/2 (MEK1/2),Not specified,Other,therapeutic target,2,abstract only,0,0,0,1,1,Selumetinib (MEK1/2 inhibitor) stabilized nerve root hypertrophy and improved epidermal nevi in KRAS-mosaic patient,human tissue;mouse model,,39385823;41004338,39385823:abstract_only;41004338:full_text
MAP2K1/2 (MEK1/2),Not specified,Plexiform neurofibroma,therapeutic target,2,abstract only,0,0,0,0,2,Selective inhibitor of MAPK kinase 1 and 2,clinical trial;review,,33835000;35363510,33835000:abstract_only;35363510:abstract_only
MAP2K1/2 (MEK1/2),NF1,High grade glioma,therapeutic target,2,abstract only,0,0,0,0,2,MEK inhibition (mirdametinib) synergizes with irradiation to inhibit growth in NF1-deficient glioma,mouse model;review,,38714355;40252783,38714355:abstract_only;40252783:abstract_only
MTOR,NF2-SWN,Non-vestibular schwannoma,therapeutic target,2,full text - partial,0,1,0,1,1,Everolimus is described as an mTOR inhibitor FDA approved for vestibular schwannoma in NF2; no non-vestibular schwannoma response attributable to mTOR inhibition is reported.,human tissue,"Ependymoma, Vestibular schwannoma",28735458;38058737,28735458:abstract_only;38058737:full_text
MTOR,Not specified,Other,modifier,2,full text - not supported,0,0,1,1,1,"Paper studies SARM1-induced NAD+ depletion suppressing mTOR/AKT signaling (reduced phospho-mTOR/AKT, RICTOR loss) leading to MCL1 destabilization and BAX activation in eHAP cells and neurons; not a neurofibromatosis disease study.",cell line,,27889578;41364765,27889578:abstract_only;41364765:full_text
NF1,NF1,Cognition / Behavioral / Learning,driver,2,abstract only,0,0,0,0,2,Tumour suppressor; inactivation by second hit causes tumours and some non-tumour phenotypes,mouse model;review,,29925695;32601904,29925695:abstract_only;32601904:abstract_only
NF1,NF1,Bone defects,driver,2,abstract only,0,0,0,0,2,"Absent or low neurofibromin content in osteoblasts, osteoclasts, chondrocytes, fibroblasts, vascular endothelial cells",human tissue;review,,32583151;32601904,32583151:abstract_only;32601904:abstract_only
NF2,Not specified,High grade glioma,therapeutic target,2,abstract only,0,0,0,0,2,Tumor suppressor; negatively regulated by RAD18 through SAP domain interaction,cell line;mouse model,,40055528;42397741,40055528:abstract_only;42397741:abstract_only
NFKB1,NF1,Malignant peripheral nerve sheath tumor (MPNST),driver,2,abstract only,0,0,0,0,2,Transcriptional driver of antiapoptotic survivin; inhibited by IκB nuclear retention,cell line;mouse model,,28314790;31197610,28314790:abstract_only;31197610:abstract_only
PDGFRA,NF1,Gastrointestinal stromal tumor (GIST),driver,2,abstract only,0,0,0,0,2,Activating mutations in receptor tyrosine kinase; downstream signal activation,human tissue;review,,29441367;35282706,29441367:abstract_only;35282706:abstract_only
PI3K-AKT-MTOR axis,Not specified,Meningioma,therapeutic target,2,abstract only,0,0,0,0,2,Intracellular signaling pathway with preliminary clinical activity,review,,34629433;36959063,34629433:abstract_only;36959063:abstract_only
PTK2 (FAK),NF2-SWN,Meningioma,modifier,2,full text - partial,0,1,0,1,1,FAK was quantified by Western blot as a migration-associated readout in meningioma cells under glucose and glycation conditions; not tested as a therapeutic target.,cell line,,33753124;39337558,33753124:abstract_only;39337558:full_text
RAS (pan),NF1,Optic pathway glioma,therapeutic target,2,abstract only,0,0,0,0,2,Neurofibromin inhibits RAS pathway; RAS regulates cellular proliferation and differentiation,review,,12432832;25917340,12432832:abstract_only;25917340:abstract_only
RAS (pan),NF1,High grade glioma,driver,2,full text - partial,0,1,0,1,1,Review of neurofibromin as a negative regulator of RAS; the retrieved text addresses neurofibromin function generally rather than high grade glioma.,review,Other,25917340;35188187,25917340:abstract_only;35188187:full_text
SMARCB1,SWN,Malignant peripheral nerve sheath tumor (MPNST),driver,2,full text - partial,0,1,0,1,1,SMARCB1 germline pathogenic variants are associated with increased risk of malignant peripheral nerve-sheath tumor in schwannomatosis; no 3-event/4-hit mechanism or NF2 co-inactivation described.,human tissue,,33588442;35361920,33588442:abstract_only;35361920:full_text
SOX10,NF1,Malignant peripheral nerve sheath tumor (MPNST),biomarker,2,abstract only,0,0,0,0,2,"Global chromatin reorganization silences SOX10, preventing gliogenesis and enabling neuro-mesenchymal transcriptional programs.",human tissue;mouse model,,34432163;42310314,34432163:abstract_only;42310314:abstract_only
TERT,Not specified,Meningioma,driver,2,abstract only,0,0,0,0,2,Telomerase reverse transcriptase promoter mutations signify grade 3 meningioma with increased recurrence risk,review,,34629433;38844366,34629433:abstract_only;38844366:abstract_only
VEGFA,NF2-SWN,Meningioma,therapeutic target,2,abstract only,0,0,0,0,2,Bevacizumab monoclonal antibody against VEGF reduces vestibular schwannoma size,clinical trial,,40434540;41250253,40434540:abstract_only;41250253:abstract_only
VEGFA,NF2-SWN,Non-vestibular schwannoma,therapeutic target,2,abstract only,0,0,0,0,2,Bevacizumab (VEGFA inhibitor) tested but did not reduce tumor growth in flank model,clinical trial;mouse model,,28735458;40434540,28735458:abstract_only;40434540:abstract_only
YAP1,Not specified,High grade glioma,therapeutic target,2,abstract only,0,0,0,0,2,Transcription factor; stabilization and nuclear retention facilitated by RAD18-mediated NF2 inhibition,cell line;mouse model,,40055528;42397741,40055528:abstract_only;42397741:abstract_only
YAP1,NF2-SWN,Vestibular schwannoma,modifier,2,abstract only,0,0,0,0,2,"Fimepinostat downregulates YAP, a downstream effector implicated in merlin-loss driven schwannoma cell signaling.",cell line;review,,38928264;41898501,38928264:abstract_only;41898501:abstract_only
YAP1-TEAD,NF2-SWN,Meningioma,therapeutic target,2,full text - partial,0,1,0,1,1,YAP1 siRNA knockdown combined with PAK inhibition in NF2-deficient HEI-193 schwannoma cells; meningioma was not the system studied.,cell line,Vestibular schwannoma,39083549;42620117,39083549:full_text;42620117:abstract_only
YAP1-TEAD,NF2-SWN,Other,driver,2,full text - not supported,0,0,1,1,1,"Full text studies Drosophila Merlin/human NF2 forming solid-like condensates that activate Hippo signaling via PI4P binding, oligomerization, and regulation by Pez/cytoskeletal tension; it does not address YAP1-TEAD or TEAD inhibitors.",cell line,,33850002;39116228,33850002:abstract_only;39116228:full_text
YAP1-TEAD,Not specified,Other,therapeutic target,2,full text - partial,0,1,1,2,0,YAP1-TEAD studied via an iron-triggered lncRNA in MCF-7 breast cancer cells; no neurofibromatosis disease context or NF-relevant manifestation.,cell line;mouse model,,37080959;41004338,37080959:full_text;41004338:full_text
YAP1-TEAD,Not specified,Meningioma,therapeutic target,2,abstract only,0,0,0,0,2,"Pathway is inactivated downstream of KMT2C-mediated NF2 silencing, enhancing oncogenic activity",cell line;review,,36959063;41642951,36959063:abstract_only;41642951:abstract_only
ABCC8,NF1,Pulmonary disease,modifier,1,abstract only,0,0,0,1,0,Involved in pulmonary arterial hypertension development,human tissue,,39367156,39367156:full_text
ABL,Not specified,Meningioma,driver,1,abstract only,0,0,0,1,0,Altered kinase activity in atypical meningioma,human tissue,,27158663,27158663:full_text
ABL1,NF2-SWN,Non-vestibular schwannoma,therapeutic target,1,abstract only,0,0,0,0,1,Nilotinib (ABL1/KIT/PDGFRA inhibitor) reduced tumor growth in NF2-PNST models,mouse model,,28735458,28735458:abstract_only
ACSL3,NF2-SWN,Vestibular schwannoma,therapeutic target,1,abstract only,0,0,0,0,1,Synthetic-lethal partner of NF2 involved in lipid biogenesis; loss kills NF2-mutant Schwann cells,cell line,,38879607,38879607:abstract_only
ACSL4,Not specified,Other,therapeutic target,1,abstract only,0,0,0,1,0,Ferroptosis modulator upregulated downstream of NF2-YAP signalling,review,,31341276,31341276:full_text
ADAM9,NF2-SWN,Vestibular schwannoma,biomarker,1,abstract only,0,0,0,0,1,Overexpressed in VS; secreted isoform correlates with hearing impairment,human tissue,,32194680,32194680:abstract_only
AKT-MTOR,NF1,Malignant peripheral nerve sheath tumor (MPNST),driver,1,abstract only,0,0,0,0,1,RRM2 overexpression activates AKT-mTOR pathway to promote MPNST proliferation,cell line,,37086345,37086345:abstract_only
AKT/mTOR,NF1,High grade glioma,driver,1,abstract only,0,0,0,0,1,Downstream of NF1 loss; regulates Ccl5 expression,mouse model,,28380429,28380429:abstract_only
AKT1,NF2-SWN,Vestibular schwannoma,driver,1,abstract only,0,0,0,0,1,Downstream kinase activated; inhibited by lapatinib,cell line,,20511180,20511180:abstract_only
AKT1,NF1,Optic pathway glioma,therapeutic target,1,abstract only,0,0,0,0,1,Hyperactivated downstream of Ras; activates mTOR to maintain optic glioma growth,mouse model,,25534823,25534823:abstract_only
AKT1,Not specified,Other,modifier,1,abstract only,0,0,0,1,0,Inhibited by NAD depletion; regulates MCL1 stability,cell line,,41364765,41364765:full_text
AKT1,NF1,Other,driver,1,abstract only,0,0,0,1,0,Akt-dependent mechanism mediates enhanced proliferation in NF1-deficient endothelium,cell line,,29847659,29847659:full_text
ALDH1A1,NF2-SWN,Meningioma,driver,1,abstract only,0,0,0,1,0,Hippo signalling target driven by TAZ in NF2-null cells,human tissue,,36148553,36148553:full_text
ALDH1A1,NF2-SWN,Vestibular schwannoma,driver,1,abstract only,0,0,0,1,0,Hippo signalling target driven by TAZ in NF2-null cells,human tissue,,36148553,36148553:full_text
ALK,NF1,Malignant peripheral nerve sheath tumor (MPNST),driver,1,abstract only,0,0,0,1,0,Implicated in circadian regulation; disrupted rhythms contribute to tumorigenesis,review,,41001593,41001593:full_text
ALK,NF1,Sleep,driver,1,abstract only,0,0,0,1,0,Implicated in circadian regulation; disrupted rhythms contribute to tumorigenesis,review,,41001593,41001593:full_text
ALK,NF1,Cognition / Behavioral / Learning,therapeutic target,1,abstract only,0,0,0,0,1,NF1-regulated ALK/RAS/ERK signaling,mouse model,,25054093,25054093:abstract_only
AMPD3,NF1,Other,therapeutic target,1,abstract only,0,0,0,1,0,Expression altered in ataluren-responsive cells; identified as biomarker and therapeutic target,cell line,,41256734,41256734:full_text
ANXA3,NF2-SWN,Meningioma,therapeutic target,1,abstract only,0,0,0,0,1,Upregulated in NF2-mutated meningioma; knockdown abolished proliferation/growth in vitro and mouse model,mouse model,,40562609,40562609:abstract_only
APAF1,Not specified,Other,modifier,1,abstract only,0,0,0,1,0,Degraded via HERC4; suppresses caspase activation,cell line,,41364765,41364765:full_text
APOCYNIN,NF1,Cardiovascular issues,therapeutic target,1,abstract only,0,0,0,0,1,Antioxidant apocynin reduces aneurysm formation in Nf1(+/-) mice,mouse model,,24370551,24370551:abstract_only
AR,NF1,Cutaneous neurofibroma,driver,1,abstract only,0,0,0,0,1,"Activated AR binds VEGFA promoter, induces expression, enhances angiogenesis",human tissue,,31059067,31059067:abstract_only
ATG5,Not specified,Hematologic malignancies,modifier,1,abstract only,0,0,0,0,1,"Knockout reduces autophagy, promotes HSPC expansion and inhibits leukemia progression, mimicking METTL14 loss",mouse model,,40819104,40819104:abstract_only
ATR,NF1,High grade glioma,therapeutic target,1,abstract only,0,0,0,0,1,ATR inhibition enhances tumor cell death when combined with RECQL4 targeting,cell line,,41317405,41317405:abstract_only
ATR,NF1,Malignant peripheral nerve sheath tumor (MPNST),therapeutic target,1,abstract only,0,0,0,0,1,ATR inhibition enhances tumor cell death when combined with RECQL4 targeting,cell line,,41317405,41317405:abstract_only
AURKA,Not specified,Malignant peripheral nerve sheath tumor (MPNST),therapeutic target,1,abstract only,0,0,0,0,1,Aurora kinase A inhibition reduces tumor size and improves survival,mouse model,,29473773,29473773:abstract_only
AXL,NF1,Malignant peripheral nerve sheath tumor (MPNST),biomarker,1,abstract only,0,0,0,0,1,Downregulated in MPNST sera relative to benign NF1 tumors,human tissue,,32193699,32193699:abstract_only
AXL,NF1,Plexiform neurofibroma,therapeutic target,1,abstract only,0,0,0,0,1,Deregulated in NF1 Schwann cell populations; PROS1-AXL signaling,mouse model,,36134665,36134665:abstract_only
BAP1,Not specified,Meningioma,driver,1,abstract only,0,0,0,0,1,Mutation in aggressive meningiomas,review,,34629433,34629433:abstract_only
BAX,Not specified,Other,driver,1,abstract only,0,0,0,1,0,Activated downstream of NAD depletion; drives mitochondrial outer membrane permeabilization,cell line,,41364765,41364765:full_text
BDNF,NF1,Other,therapeutic target,1,abstract only,0,0,0,1,0,PRC2 represses BDNF; activation accompanies loss of H3K27 methylation during nerve repair,mouse model,,30306639,30306639:full_text
BET,NF1,Malignant peripheral nerve sheath tumor (MPNST),modifier,1,abstract only,0,0,0,0,1,Downstream effector pathway regulated by HuR in MPNST cells,human tissue,,32315290,32315290:abstract_only
BEVACIZUMAB,NF2-SWN,Vestibular schwannoma,therapeutic target,1,abstract only,0,0,0,0,1,Maintained or improved short-term hearing in selected patients,review,,31425178,31425178:abstract_only
BMX,Not specified,Meningioma,driver,1,abstract only,0,0,0,1,0,Increased phosphorylation in recurrent atypical meningiomas,human tissue,,27158663,27158663:full_text
BORC,NF1,Cutaneous neurofibroma,therapeutic target,1,abstract only,0,0,0,0,1,Lysosome positioning and trafficking; synthetic lethal with NF1 loss,cell line,,39016685,39016685:abstract_only
BORC,NF1,Hematologic malignancies,therapeutic target,1,abstract only,0,0,0,0,1,Lysosome positioning and trafficking; synthetic lethal with NF1 loss,cell line,,39016685,39016685:abstract_only
BORC,NF1,High grade glioma,therapeutic target,1,abstract only,0,0,0,0,1,Lysosome positioning and trafficking; synthetic lethal with NF1 loss,cell line,,39016685,39016685:abstract_only
BORC,NF1,Malignant peripheral nerve sheath tumor (MPNST),therapeutic target,1,abstract only,0,0,0,0,1,Lysosome positioning and trafficking; synthetic lethal with NF1 loss,cell line,,39016685,39016685:abstract_only
BORC,NF1,Optic pathway glioma,therapeutic target,1,abstract only,0,0,0,0,1,Lysosome positioning and trafficking; synthetic lethal with NF1 loss,cell line,,39016685,39016685:abstract_only
BORC,NF1,Plexiform neurofibroma,therapeutic target,1,abstract only,0,0,0,0,1,Lysosome positioning and trafficking; synthetic lethal with NF1 loss,cell line,,39016685,39016685:abstract_only
BRAF,Not specified,Other,driver,1,abstract only,0,0,0,0,1,Vemurafenib (BRAF inhibitor) highly effective in refractory BRAF-V600E(+) ECD,clinical trial;human tissue,,26637774,26637774:abstract_only
BRAF,NF1,Gastrointestinal stromal tumor (GIST),modifier,1,abstract only,0,0,0,0,1,Mutations in RAS signaling pathway in wild-type GISTs,human tissue,,29441367,29441367:abstract_only
BRAF,Not specified,High grade glioma,driver,1,abstract only,0,0,0,0,1,V600E mutation and amplification in gliomas,human tissue,,38195220,38195220:abstract_only
BRD4,Not specified,Plexiform neurofibroma,therapeutic target,1,abstract only,0,0,0,0,1,BromoDomain-containing protein 4 inhibitor,review,,33835000,33835000:abstract_only
BRK,Not specified,Meningioma,driver,1,abstract only,0,0,0,1,0,Altered kinase activity in atypical meningioma,human tissue,,27158663,27158663:full_text
CAMP-PKA,NF1,Malignant peripheral nerve sheath tumor (MPNST),driver,1,abstract only,0,0,0,1,0,Implicated in circadian regulation; disrupted rhythms contribute to tumorigenesis,review,,41001593,41001593:full_text
CAMP-PKA,NF1,Sleep,driver,1,abstract only,0,0,0,1,0,Implicated in circadian regulation; disrupted rhythms contribute to tumorigenesis,review,,41001593,41001593:full_text
CBP/EP300,Not specified,Meningioma,modifier,1,abstract only,0,0,0,0,1,"KMT2C loss impairs CBP/EP300 acetyltransferase activity, reducing H3K27ac and silencing NF2 transcription",cell line,,41642951,41642951:abstract_only
CCL2,SWN,Pain,driver,1,abstract only,0,0,0,0,1,"Neuron-derived CCL2 contributes to macrophage recruitment into DRG, driving pain via IL-6 production.",mouse model,,41758723,41758723:abstract_only
CCL5,NF1,Cutaneous neurofibroma,modifier,1,abstract only,0,0,0,0,1,Elevated CCL5 modulates macrophage accumulation in cutaneous neurofibromas,cell line,,32323813,32323813:abstract_only
CCL5,NF1,High grade glioma,driver,1,abstract only,0,0,0,0,1,Autocrine circuit; inhibits apoptosis via CD44,mouse model,,28380429,28380429:abstract_only
CCND4,Not specified,Meningioma,therapeutic target,1,abstract only,0,0,0,0,1,Cell cycle inhibition targeting cyclin D4-6,review,,36959063,36959063:abstract_only
CCR5,NF1,Cutaneous neurofibroma,modifier,1,abstract only,0,0,0,0,1,CCL5/CCR5 axis modulates macrophage proliferation and accumulation,cell line,,32323813,32323813:abstract_only
CD274,NF1,Malignant peripheral nerve sheath tumor (MPNST),biomarker,1,abstract only,0,0,0,0,1,Upregulated in MPNST sera; predicts immunotherapy response,human tissue,,32193699,32193699:abstract_only
CD274,NF1,Cutaneous neurofibroma,driver,1,abstract only,0,0,0,0,1,Upregulation in tumor-associated dendritic cells promotes immune evasion,mouse model,,37817770,37817770:abstract_only
CD274,NF1,Plexiform neurofibroma,driver,1,abstract only,0,0,0,0,1,Upregulation in tumor-associated dendritic cells promotes immune evasion,mouse model,,37817770,37817770:abstract_only
CD274,Not specified,High grade glioma,biomarker,1,abstract only,0,0,0,1,0,Checkpoint expression enriched in IFI44-high gliomas,computational,,41327009,41327009:full_text
CD44,NF1,Malignant peripheral nerve sheath tumor (MPNST),driver,1,abstract only,0,0,0,0,1,SPP1-CD44 signaling in tumor cells and macrophages,mouse model,,41053414,41053414:abstract_only
CD44,NF1,Plexiform neurofibroma,driver,1,abstract only,0,0,0,0,1,SPP1-CD44 signaling in tumor cells and macrophages,mouse model,,41053414,41053414:abstract_only
CD44,NF1,High grade glioma,therapeutic target,1,abstract only,0,0,0,0,1,CCL5 receptor; mediates anti-apoptotic signaling,mouse model,,28380429,28380429:abstract_only
CD74,NF1,Plexiform neurofibroma,therapeutic target,1,abstract only,0,0,0,0,1,PN-specific expression; deregulated MIF-CD74 and NF-κB pathway,mouse model,,36134665,36134665:abstract_only
CDK,Not specified,Meningioma,therapeutic target,1,abstract only,0,0,0,1,0,cyclin-dependent kinase inhibition,review,,36181606,36181606:full_text
CDK4,Not specified,High grade glioma,driver,1,abstract only,0,0,0,1,0,Amplification in PDGFRA-mutant glioblastoma cluster,human tissue,,32748499,32748499:full_text
CDK4/6,NF1,Malignant peripheral nerve sheath tumor (MPNST),therapeutic target,1,abstract only,0,0,0,1,0,Hyperactivated downstream effectors of RABL6A in MPNSTs,review,,33456709,33456709:full_text
